datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2019/11/09 16:30:00,AQUA_M-T,Brasil,MINAS GERAIS,RESPLENDOR,Mata Atlantica,7,0,1,-19.163,-41.157,20.5
2019/11/09 16:30:00,AQUA_M-T,Brasil,MINAS GERAIS,CHAPADA GAUCHA,Cerrado,7,0,1,-15.664,-45.248,46.3
2019/11/09 16:30:00,AQUA_M-T,Brasil,MINAS GERAIS,SACRAMENTO,Cerrado,0,0.9,0.3,-19.829,-47.105,38.6
2019/11/09 16:30:00,AQUA_M-T,Brasil,MINAS GERAIS,GRAO MOGOL,Cerrado,14,0,1,-16.157,-42.859,112.5
2019/11/09 16:30:00,AQUA_M-T,Brasil,MINAS GERAIS,CARLOS CHAGAS,Mata Atlantica,14,0,1,-17.788,-40.746,226.9
2019/07/11 16:35:00,AQUA_M-T,Brasil,MINAS GERAIS,PARACATU,Cerrado,55,0,0.8,-17.511,-47.422,95.1
2019/07/11 16:35:00,AQUA_M-T,Brasil,MINAS GERAIS,PERIQUITO,Mata Atlantica,5,0,1,-19.062,-42.157,57.9
2019/07/11 16:35:00,AQUA_M-T,Brasil,MINAS GERAIS,CURVELO,Cerrado,30,0,1,-18.599,-44.367,10.8
2019/07/11 16:35:00,AQUA_M-T,Brasil,MINAS GERAIS,AGUA BOA,Mata Atlantica,33,0,1,-18.011,-42.401,5.5
2019/07/11 16:35:00,AQUA_M-T,Brasil,MINAS GERAIS,JOAO PINHEIRO,Cerrado,54,0,1,-17.938,-45.859,7.9
2019/07/11 16:35:00,AQUA_M-T,Brasil,MINAS GERAIS,CAPELINHA,Mata Atlantica,33,0,0.9,-17.841,-42.499,8.5
2019/07/11 16:35:00,AQUA_M-T,Brasil,MINAS GERAIS,LASSANCE,Cerrado,33,0,1,-17.73,-44.314,7.4
2019/07/11 16:35:00,AQUA_M-T,Brasil,MINAS GERAIS,PARACATU,Cerrado,55,0,1,-17.524,-47.435,140
2019/07/11 16:35:00,AQUA_M-T,Brasil,MINAS GERAIS,PARACATU,Cerrado,55,0,0.9,-17.522,-47.421,373.3
2019/07/12 17:15:00,AQUA_M-T,Brasil,MINAS GERAIS,CALDAS,Mata Atlantica,7,0,0.5,-21.839,-46.476,14.9
2019/07/12 17:20:00,AQUA_M-T,Brasil,MINAS GERAIS,DELFINOPOLIS,Cerrado,7,0,1,-20.28,-46.698,13.1
2019/07/12 17:20:00,AQUA_M-T,Brasil,MINAS GERAIS,FRUTAL,Cerrado,8,0,1,-20.048,-49.265,9.3
2019/07/12 17:20:00,AQUA_M-T,Brasil,MINAS GERAIS,INHAUMA,Cerrado,22,0,0.9,-19.567,-44.381,55.4
2019/02/10 16:30:00,AQUA_M-T,Brasil,MINAS GERAIS,ANDRELANDIA,Mata Atlantica,3,0.1,1,-21.715,-44.315,8.4
2019/02/10 16:30:00,AQUA_M-T,Brasil,MINAS GERAIS,JUIZ DE FORA,Mata Atlantica,2,0,-999,-21.707,-43.428,9.4
2019/02/10 16:30:00,AQUA_M-T,Brasil,MINAS GERAIS,BOM DESPACHO,Cerrado,3,0.1,0.8,-19.723,-45.396,18.8
2019/04/20 16:50:00,AQUA_M-T,Brasil,MINAS GERAIS,PARACATU,Cerrado,2,0,0.7,-17.258,-46.6,8.7
2019/04/20 16:45:00,AQUA_M-T,Brasil,MINAS GERAIS,ALAGOA,Mata Atlantica,3,0,0.1,-22.186,-44.604,11.5
2019/04/29 16:40:00,AQUA_M-T,Brasil,MINAS GERAIS,NOVO ORIENTE DE MINAS,Mata Atlantica,10,0,1,-17.144,-41.312,11
2019/04/29 16:40:00,AQUA_M-T,Brasil,MINAS GERAIS,RIACHO DOS MACHADOS,Cerrado,16,0.1,0.7,-16.149,-43.076,15.8
2019/04/29 16:40:00,AQUA_M-T,Brasil,MINAS GERAIS,RIACHO DOS MACHADOS,Cerrado,16,0.1,1,-16.147,-43.066,98.2
2019/04/29 16:40:00,AQUA_M-T,Brasil,MINAS GERAIS,MATO VERDE,Cerrado,8,0,1,-15.467,-42.834,10.3
2019/04/29 16:40:00,AQUA_M-T,Brasil,MINAS GERAIS,SENHORA DO PORTO,Mata Atlantica,12,0.2,0.8,-18.94,-43.154,14.1
2019/04/29 16:40:00,AQUA_M-T,Brasil,MINAS GERAIS,COROMANDEL,Cerrado,5,0,1,-18.378,-47.097,16.3
2019/05/07 15:55:00,AQUA_M-T,Brasil,MINAS GERAIS,RIO VERMELHO,Mata Atlantica,3,0,0.5,-18.139,-43.014,119.2
2019/05/24 16:35:00,AQUA_M-T,Brasil,MINAS GERAIS,JAIBA,Caatinga,5,1.2,0.9,-15.11,-43.56,15.1
2019/05/24 16:35:00,AQUA_M-T,Brasil,MINAS GERAIS,JAIBA,Caatinga,5,1.1,0.9,-15.109,-43.551,11
2019/05/26 16:25:00,AQUA_M-T,Brasil,MINAS GERAIS,DELTA,Cerrado,6,0,0.9,-19.937,-47.833,23.2
2019/05/26 16:25:00,AQUA_M-T,Brasil,MINAS GERAIS,DELTA,Cerrado,5,0,0.9,-19.933,-47.811,28.6
2019/05/26 16:25:00,AQUA_M-T,Brasil,MINAS GERAIS,SANTO ANTONIO DO ITAMBE,Mata Atlantica,9,0,0.7,-18.461,-43.304,10
2019/05/26 16:25:00,AQUA_M-T,Brasil,MINAS GERAIS,SANTO ANTONIO DO ITAMBE,Mata Atlantica,9,0,0.4,-18.46,-43.291,30.1
2019/06/07 16:50:00,AQUA_M-T,Brasil,MINAS GERAIS,PARACATU,Cerrado,21,0,1,-17.267,-46.527,5.8
2019/06/07 16:50:00,AQUA_M-T,Brasil,MINAS GERAIS,ITINGA,Mata Atlantica,20,0,1,-16.642,-41.791,15.1
2019/06/07 16:50:00,AQUA_M-T,Brasil,MINAS GERAIS,CAPITAO ENEAS,Cerrado,21,0,1,-16.173,-43.619,12.2
2019/06/07 16:50:00,AQUA_M-T,Brasil,MINAS GERAIS,ARINOS,Cerrado,16,0,1,-16.032,-45.868,7.7
2019/06/12 17:05:00,AQUA_M-T,Brasil,MINAS GERAIS,TUPACIGUARA,Mata Atlantica,26,0,1,-18.402,-48.872,35.7
2019/06/12 17:05:00,AQUA_M-T,Brasil,MINAS GERAIS,TUPACIGUARA,Mata Atlantica,26,0,1,-18.4,-48.862,89.6
2019/06/14 16:55:00,AQUA_M-T,Brasil,MINAS GERAIS,ITUIUTABA,Cerrado,27,0,1,-18.752,-49.789,9.6
2019/06/23 16:45:00,AQUA_M-T,Brasil,MINAS GERAIS,PIEDADE DO RIO GRANDE,Mata Atlantica,20,0,1,-21.555,-44.131,21.8
2019/06/24 17:30:00,AQUA_M-T,Brasil,MINAS GERAIS,CONCEICAO DAS ALAGOAS,Cerrado,21,0,1,-19.932,-48.343,58
2019/07/04 16:30:00,AQUA_M-T,Brasil,MINAS GERAIS,LASSANCE,Cerrado,26,0,1,-17.721,-44.413,38.7
2019/07/04 16:30:00,AQUA_M-T,Brasil,MINAS GERAIS,FRANCISCO DUMONT,Cerrado,26,0,1,-17.683,-44.277,13
2019/07/04 16:30:00,AQUA_M-T,Brasil,MINAS GERAIS,FRANCISCO DUMONT,Cerrado,26,0,1,-17.682,-44.266,8.5
2019/07/04 16:30:00,AQUA_M-T,Brasil,MINAS GERAIS,FRANCISCO DUMONT,Cerrado,26,0,1,-17.673,-44.279,10.1
2019/07/04 16:30:00,AQUA_M-T,Brasil,MINAS GERAIS,VARZEA DA PALMA,Cerrado,27,0,1,-17.496,-44.559,11.7
2019/07/07 17:00:00,AQUA_M-T,Brasil,MINAS GERAIS,TRES MARIAS,Cerrado,28,0,1,-18.313,-45.125,10
2019/07/07 17:00:00,AQUA_M-T,Brasil,MINAS GERAIS,CORACAO DE JESUS,Cerrado,49,0,1,-16.472,-44.016,13.8
2019/07/07 17:00:00,AQUA_M-T,Brasil,MINAS GERAIS,CORACAO DE JESUS,Cerrado,49,0,1,-16.47,-44.028,11.5
2019/07/11 16:35:00,AQUA_M-T,Brasil,MINAS GERAIS,PASSOS,Cerrado,6,0,-999,-20.702,-46.621,9.6
2019/07/14 17:05:00,AQUA_M-T,Brasil,MINAS GERAIS,TARUMIRIM,Mata Atlantica,9,0,1,-19.25,-41.858,47.9
2019/07/16 16:55:00,AQUA_M-T,Brasil,MINAS GERAIS,JANAUBA,Caatinga,59,0,1,-15.582,-43.296,21.3
2019/07/16 16:55:00,AQUA_M-T,Brasil,MINAS GERAIS,JANAUBA,Caatinga,59,0,1,-15.571,-43.298,88.4
2019/07/16 16:55:00,AQUA_M-T,Brasil,MINAS GERAIS,JANUARIA,Caatinga,59,0,1,-15.482,-44.39,10.9
2019/07/16 16:55:00,AQUA_M-T,Brasil,MINAS GERAIS,GAMELEIRAS,Caatinga,59,0,1,-14.906,-43.46,11.5
2019/07/20 16:30:00,AQUA_M-T,Brasil,MINAS GERAIS,MUNHOZ,Mata Atlantica,9,1.2,0.9,-22.607,-46.215,12.7
2019/07/20 16:30:00,AQUA_M-T,Brasil,MINAS GERAIS,SENADOR AMARAL,Mata Atlantica,10,1.2,0.9,-22.602,-46.223,10.8
2019/07/20 16:30:00,AQUA_M-T,Brasil,MINAS GERAIS,PERDIZES,Cerrado,33,0,1,-19.336,-47.212,15.8
2019/07/20 16:30:00,AQUA_M-T,Brasil,MINAS GERAIS,CURVELO,Cerrado,15,0,0.9,-19.039,-44.322,11.4
2019/08/05 16:30:00,AQUA_M-T,Brasil,MINAS GERAIS,URUCUIA,Cerrado,14,0,1,-16.267,-45.396,6.2
2019/08/14 16:20:00,AQUA_M-T,Brasil,MINAS GERAIS,FRUTAL,Cerrado,8,0,1,-20.042,-49.214,226.4
2019/01/07 16:40:00,AQUA_M-T,Brasil,MINAS GERAIS,SANTA VITORIA,Cerrado,2,0,0,-18.737,-50.072,23.4
2019/01/09 16:30:00,AQUA_M-T,Brasil,MINAS GERAIS,CONSELHEIRO LAFAIETE,Mata Atlantica,2,0,1,-20.713,-43.707,8.1
2019/01/09 16:30:00,AQUA_M-T,Brasil,MINAS GERAIS,ABAETE,Cerrado,0,0.8,0.8,-19.16,-45.449,6.7
2019/01/16 16:35:00,AQUA_M-T,Brasil,MINAS GERAIS,VAZANTE,Cerrado,6,0,-999,-17.992,-46.904,13.6
2019/08/12 16:35:00,AQUA_M-T,Brasil,MINAS GERAIS,TAPIRAI,Cerrado,6,0,1,-19.877,-46.069,14.5
